heart_rate,steps,calories,azm,resting_hr,hrv,br,sleep_minutes,sleep_efficiency,stress_level
92,151,42,3,59,21,12,423,0.84,High
71,508,104,11,68,48,12,470,0.91,Low
90,171,81,0,66,17,13,395,0.91,High
86,339,98,8,74,39,12,411,0.74,Medium
73,455,88,4,56,34,14,428,0.73,Medium
86,273,129,5,67,34,15,461,0.94,Medium
82,401,89,7,68,32,17,307,0.73,Medium
95,144,73,1,62,20,17,313,0.83,High
67,842,106,12,70,40,13,463,0.88,Low
72,267,128,5,57,31,17,363,0.84,Medium
60,737,144,17,65,40,15,332,0.85,Low
86,284,106,6,67,33,15,467,0.77,Medium
89,195,74,0,56,16,18,385,0.94,High
77,515,145,15,74,40,19,369,0.9,Low
71,697,152,13,70,44,16,463,0.81,Low
69,732,102,19,68,40,18,343,0.79,Low
89,393,81,6,71,38,17,330,0.72,Medium
67,681,151,15,59,44,16,474,0.87,Low
92,81,59,3,63,23,17,467,0.77,High
93,102,73,0,68,18,13,329,0.92,High
77,283,89,6,63,31,13,360,0.89,Medium
88,318,101,8,71,30,16,352,0.71,Medium
84,462,122,5,65,36,16,346,0.86,Medium
80,373,113,6,70,35,15,371,0.78,Medium
89,86,72,0,65,18,18,436,0.94,High
72,566,112,15,65,44,12,376,0.79,Low
71,308,98,4,55,27,16,359,0.89,Medium
82,259,75,6,72,25,12,429,0.88,Medium
78,224,78,9,68,31,15,402,0.82,Medium
72,749,158,12,72,41,12,309,0.77,Low
81,570,166,13,72,46,15,397,0.94,Low
75,428,81,4,65,38,16,319,0.8,Medium
69,555,143,13,67,48,19,464,0.94,Low
79,287,83,9,63,27,13,422,0.84,Medium
94,87,85,1,62,21,18,463,0.87,High
62,682,170,15,57,45,18,454,0.81,Low
102,4,41,1,68,20,15,405,0.88,High
102,47,42,0,68,21,19,395,0.71,High
80,440,125,4,69,34,19,322,0.72,Medium
60,733,110,17,60,41,14,333,0.83,Low
55,784,108,11,56,48,17,413,0.94,Low
101,106,78,1,67,22,16,468,0.94,High
67,553,161,10,64,48,14,350,0.8,Low
81,776,100,12,72,46,17,474,0.75,Low
78,219,120,6,67,29,14,308,0.79,Medium
87,67,49,1,63,22,14,428,0.78,High
54,642,161,14,55,45,18,398,0.91,Low
97,107,59,2,74,15,15,479,0.85,High
72,798,171,15,70,49,18,312,0.86,Low
73,452,123,8,60,31,17,428,0.79,Medium
99,187,78,3,66,24,18,406,0.76,High
67,687,117,10,64,42,18,327,0.81,Low
77,456,126,5,66,36,13,467,0.79,Medium
61,706,115,18,62,40,14,347,0.77,Low
67,245,91,7,55,38,16,303,0.75,Medium
90,119,65,0,67,22,15,302,0.71,High
85,440,100,4,69,34,13,419,0.73,Medium
94,31,47,2,72,16,19,329,0.77,High
88,198,77,2,55,21,16,328,0.81,High
70,547,113,13,66,43,15,392,0.7,Low
83,424,78,5,71,37,17,449,0.73,Medium
84,493,119,6,73,31,18,334,0.85,Medium
86,129,41,1,57,19,19,303,0.76,High
75,403,87,7,61,31,19,319,0.89,Medium
95,193,55,1,69,16,15,312,0.81,High
93,143,58,2,68,19,12,401,0.72,High
68,283,100,8,58,34,16,431,0.9,Medium
81,123,59,2,58,15,17,383,0.73,High
55,676,131,15,56,46,19,420,0.71,Low
82,384,117,6,68,33,13,354,0.92,Medium
86,392,129,8,72,35,19,336,0.88,Medium
73,698,109,18,69,43,19,320,0.92,Low
86,129,67,0,59,19,14,341,0.91,High
71,221,71,7,60,36,17,335,0.85,Medium
92,378,108,7,73,34,13,443,0.78,Medium
79,595,107,19,74,46,15,356,0.76,Low
87,24,56,0,65,20,12,347,0.9,High
76,211,96,8,58,32,12,394,0.88,Medium
67,657,143,16,63,46,17,309,0.8,Low
86,0,73,0,60,23,18,345,0.92,High
54,590,156,15,55,41,14,476,0.89,Low
80,224,122,4,62,33,19,366,0.83,Medium
107,86,66,0,74,24,14,413,0.84,High
93,105,83,0,68,16,15,424,0.8,High
95,196,71,3,61,24,12,381,0.72,High
90,164,83,1,58,24,16,417,0.81,High
94,118,44,1,71,23,14,423,0.82,High
60,777,179,15,61,41,17,445,0.9,Low
60,632,152,17,61,41,17,323,0.91,Low
87,156,54,1,55,16,15,395,0.76,High
100,101,61,2,68,24,16,467,0.79,High
73,448,90,8,56,29,13,302,0.75,Medium
63,865,178,16,60,47,15,418,0.86,Low
64,724,145,18,56,49,18,321,0.78,Low
